BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Between,Variances,PHIPP,0.001,0,  0.030,1,0,999.000
Between,Variances,PREC,0.006,0.002,  0.001,1,0,999.000
Between,Variances,PCC,0.007,0.002,  0.002,1,0,999.000
Between,Variances,MPFC,0.003,0.001,  0.001,1,0,999.000
Between,Variances,PHC,0.005,0.001,< 0.001,1,0,999.000
Between,Variances,RSC,0.004,0.001,< 0.001,1,0,999.000
Between,Variances,AAG,0.023,0.008,  0.005,1,0,999.000
Between,Variances,PAG,0.014,0.004,< 0.001,1,0,999.000
Between,Variances,MEMQB,0.478,0.274,  0.081,1,0,999.000
Between,Residual.Variances,SCECORR,0.037,0.135,  0.782,0.072,0.244,  0.767
Between,Residual.Variances,COLCORR,0.066,0.068,  0.328,0.335,0.253,  0.186
Between,Residual.Variances,EMOCORR,0.042,0.057,  0.457,0.246,0.28,  0.379
