Title,Chi-square,Wald's Test,CFI,TLI,RMSEA_Estimate,SRMR.Within,SRMR.Between
Model 0: Redundancy,"1576.952 (61), p: < 0.001",NA,0.918,0.852,0.08,0.053,0.043
Model 1: pHIPP,"1587.83 (60), p: < 0.001","0.189 (1), p: 1.00",0.917,0.848,0.081,0.053,0.043
Model 2: PREC,"1577.297 (60), p: < 0.001","0.332 (1), p: 1.00",0.918,0.85,0.081,0.054,0.043
Model 3: PCC,"1594.095 (60), p: < 0.001","0.076 (1), p: 1.00",0.917,0.848,0.081,0.054,0.043
Model 4: MPFC,"1559.54 (60), p: < 0.001","16.181 (1), p: <0.001",0.919,0.851,0.08,0.052,0.043
Model 5: PHC,"1668.59 (60), p: < 0.001","3.373 (1), p: 0.60",0.913,0.84,0.083,0.053,0.043
Model 6: RSC,"1576.103 (60), p: < 0.001","4.331 (1), p: 0.34",0.918,0.85,0.081,0.053,0.043
Model 7: aAG,"1567.02 (60), p: < 0.001","1.256 (1), p: 1.00",0.918,0.851,0.08,0.053,0.043
Model 8: pAG,"1583.453 (60), p: < 0.001","2.747 (1), p: 0.88",0.918,0.849,0.081,0.053,0.043
Model 9: MPFC + PHC,"1654.689 (59), p: < 0.001","2.172 (1), p: 1.00",0.914,0.839,0.083,0.052,0.043
